instant,dateday,season,year,month,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,count,season_labels,actual_temp,weather_labels
1,2011-01-01,1,0,Jan,0,,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Springer,14.110847,Mist
2,2011-01-02,1,0,Jan,0,,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Springer,14.902598000000001,Mist
3,2011-01-03,1,0,Jan,0,,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,Springer,8.050924,Clear
4,2011-01-04,1,0,Jan,0,,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,Springer,8.200000000000001,Clear
5,2011-01-05,1,0,Jan,0,,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Springer,9.305237,Clear
6,2011-01-06,1,0,Jan,0,,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,Springer,8.378268,Clear
7,2011-01-07,1,0,Jan,0,,1,2,0.196522,0.208839,0.498696,0.168726,148,1362,1510,Springer,8.057402,Mist
8,2011-01-08,1,0,Jan,0,,0,2,0.165,0.162254,0.535833,0.266804,68,891,959,Springer,6.765000000000001,Mist
9,2011-01-09,1,0,Jan,0,,0,1,0.138333,0.116175,0.434167,0.36195,54,768,822,Springer,5.671653,Clear
10,2011-01-10,1,0,Jan,0,,1,1,0.150833,0.150888,0.482917,0.223267,41,1280,1321,Springer,6.184153,Clear
11,2011-01-11,1,0,Jan,0,,1,2,0.169091,0.191464,0.686364,0.122132,43,1220,1263,Springer,6.9327309999999995,Mist
12,2011-01-12,1,0,Jan,0,,1,1,0.172727,0.160473,0.599545,0.304627,25,1137,1162,Springer,7.0818069999999995,Clear
13,2011-01-13,1,0,Jan,0,,1,1,0.165,0.150883,0.470417,0.301,38,1368,1406,Springer,6.765000000000001,Clear
14,2011-01-14,1,0,Jan,0,,1,1,0.16087,0.188413,0.537826,0.126548,54,1367,1421,Springer,6.59567,Clear
15,2011-01-15,1,0,Jan,0,,0,2,0.233333,0.248112,0.49875,0.157963,222,1026,1248,Springer,9.566653,Mist
16,2011-01-16,1,0,Jan,0,,0,1,0.231667,0.234217,0.48375,0.188433,251,953,1204,Springer,9.498347,Clear
17,2011-01-17,1,0,Jan,1,,0,2,0.175833,0.176771,0.5375,0.194017,117,883,1000,Springer,7.209153,Mist
18,2011-01-18,1,0,Jan,0,,1,2,0.216667,0.232333,0.861667,0.146775,9,674,683,Springer,8.883347,Mist
19,2011-01-19,1,0,Jan,0,,1,2,0.292174,0.298422,0.741739,0.208317,78,1572,1650,Springer,11.979134,Mist
20,2011-01-20,1,0,Jan,0,,1,2,0.261667,0.25505,0.538333,0.195904,83,1844,1927,Springer,10.728347,Mist
21,2011-01-21,1,0,Jan,0,,1,1,0.1775,0.157833,0.457083,0.353242,75,1468,1543,Springer,7.2775,Clear
22,2011-01-22,1,0,Jan,0,,0,1,0.0591304,0.0790696,0.4,0.17197,93,888,981,Springer,2.4243464,Clear
23,2011-01-23,1,0,Jan,0,,0,1,0.0965217,0.0988391,0.436522,0.2466,150,836,986,Springer,3.9573897000000002,Clear
24,2011-01-24,1,0,Jan,0,,1,1,0.0973913,0.11793,0.491739,0.15833,86,1330,1416,Springer,3.9930433,Clear
25,2011-01-25,1,0,Jan,0,,1,2,0.223478,0.234526,0.616957,0.129796,186,1799,1985,Springer,9.162598000000001,Mist
26,2011-01-26,1,0,Jan,0,,1,3,0.2175,0.2036,0.8625,0.29385,34,472,506,Springer,8.9175,Light Rain
27,2011-01-27,1,0,Jan,0,,1,1,0.195,0.2197,0.6875,0.113837,15,416,431,Springer,7.995,Clear
28,2011-01-28,1,0,Jan,0,,1,2,0.203478,0.223317,0.793043,0.1233,38,1129,1167,Springer,8.342597999999999,Mist
29,2011-01-29,1,0,Jan,0,,0,1,0.196522,0.212126,0.651739,0.145365,123,975,1098,Springer,8.057402,Clear
30,2011-01-30,1,0,Jan,0,,0,1,0.216522,0.250322,0.722174,0.0739826,140,956,1096,Springer,8.877402,Clear
31,2011-01-31,1,0,Jan,0,,1,2,0.180833,0.18625,0.60375,0.187192,42,1459,1501,Springer,7.414153,Mist
32,2011-02-01,1,0,Feb,0,,1,2,0.192174,0.23453,0.829565,0.053213,47,1313,1360,Springer,7.8791340000000005,Mist
33,2011-02-02,1,0,Feb,0,,1,2,0.26,0.254417,0.775417,0.264308,72,1454,1526,Springer,10.66,Mist
34,2011-02-03,1,0,Feb,0,,1,1,0.186957,0.177878,0.437826,0.277752,61,1489,1550,Springer,7.665237,Clear
35,2011-02-04,1,0,Feb,0,,1,2,0.211304,0.228587,0.585217,0.127839,88,1620,1708,Springer,8.663464,Mist
36,2011-02-05,1,0,Feb,0,,0,2,0.233333,0.243058,0.929167,0.161079,100,905,1005,Springer,9.566653,Mist
